location_name,latitude,longitude,date,time,heat_illness_er_rate_per_100k
Phoenix AZ,33.4484,-112.0740,2024-07-15,14:00,298
Houston TX,29.7604,-95.3698,2024-07-15,14:00,483
Miami FL,25.7617,-80.1918,2024-07-15,14:00,226
Las Vegas NV,36.1699,-115.1398,2024-07-15,14:00,298
Dallas TX,32.7767,-96.7970,2024-07-15,14:00,483
Atlanta GA,33.7490,-84.3880,2024-07-15,14:00,226
Los Angeles CA,34.0522,-118.2437,2024-07-15,14:00,298
San Diego CA,32.7157,-117.1611,2024-07-15,14:00,298
New York NY,40.7128,-74.0060,2024-07-15,14:00,51
Chicago IL,41.8781,-87.6298,2024-07-15,14:00,102
Seattle WA,47.6062,-122.3321,2024-07-15,14:00,128
Denver CO,39.7392,-104.9903,2024-07-15,14:00,127
Boston MA,42.3601,-71.0589,2024-07-15,14:00,69
Minneapolis MN,44.9778,-93.2650,2024-07-15,14:00,102
Portland OR,45.5152,-122.6784,2024-07-15,14:00,128
Sacramento CA,38.5816,-121.4944,2024-07-15,14:00,298
Austin TX,30.2672,-97.7431,2024-07-15,14:00,483
San Antonio TX,29.4241,-98.4936,2024-07-15,14:00,483
Tucson AZ,32.2226,-110.9747,2024-07-15,14:00,298
Orlando FL,28.5383,-81.3792,2024-07-15,14:00,226
