location_name,latitude,longitude,date,time,energy_consumption_kwh
Phoenix AZ,33.4484,-112.0740,2024-07-15,14:00,58.2
Houston TX,29.7604,-95.3698,2024-07-15,14:00,49.7
Miami FL,25.7617,-80.1918,2024-07-15,14:00,47.3
Las Vegas NV,36.1699,-115.1398,2024-07-15,14:00,55.9
Dallas TX,32.7767,-96.7970,2024-07-15,14:00,48.6
Atlanta GA,33.7490,-84.3880,2024-07-15,14:00,41.5
Los Angeles CA,34.0522,-118.2437,2024-07-15,14:00,38.9
San Diego CA,32.7157,-117.1611,2024-07-15,14:00,33.1
New York NY,40.7128,-74.0060,2024-07-15,14:00,39.8
Chicago IL,41.8781,-87.6298,2024-07-15,14:00,35.4
Seattle WA,47.6062,-122.3321,2024-07-15,14:00,24.6
Denver CO,39.7392,-104.9903,2024-07-15,14:00,30.2
Boston MA,42.3601,-71.0589,2024-07-15,14:00,33.7
Minneapolis MN,44.9778,-93.2650,2024-07-15,14:00,29.9
Portland OR,45.5152,-122.6784,2024-07-15,14:00,26.8
Sacramento CA,38.5816,-121.4944,2024-07-15,14:00,44.2
Austin TX,30.2672,-97.7431,2024-07-15,14:00,50.5
San Antonio TX,29.4241,-98.4936,2024-07-15,14:00,47.8
Tucson AZ,32.2226,-110.9747,2024-07-15,14:00,53.6
Orlando FL,28.5383,-81.3792,2024-07-15,14:00,45.9
