location_name,latitude,longitude,date,time,temperature_c,heat_illness_er_rate_per_100k
Phoenix AZ,33.4484,-112.074,2024-07-15,14:00,39.71984903846153,298
Houston TX,29.7604,-95.3698,2024-07-15,14:00,33.59329225589226,483
Miami FL,25.7617,-80.1918,2024-07-15,14:00,31.25922237442922,226
Las Vegas NV,36.1699,-115.1398,2024-07-15,14:00,40.67000000000001,298
Dallas TX,32.7767,-96.797,2024-07-15,14:00,38.12434340277778,483
Atlanta GA,33.749,-84.388,2024-07-15,14:00,35.37142182539682,226
Los Angeles CA,34.0522,-118.2437,2024-07-15,14:00,33.00185398230089,298
San Diego CA,32.7157,-117.1611,2024-07-15,14:00,25.66085462962963,298
New York NY,40.7128,-74.006,2024-07-15,14:00,32.906078125,51
Chicago IL,41.8781,-87.6298,2024-07-15,14:00,27.773701435406704,102
Seattle WA,47.6062,-122.3321,2024-07-15,14:00,21.22452955465587,128
Denver CO,39.7392,-104.9903,2024-07-15,14:00,36.14142083333333,127
Boston MA,42.3601,-71.0589,2024-07-15,14:00,35.1972640625,69
Minneapolis MN,44.9778,-93.265,2024-07-15,14:00,30.32201130952381,102
Portland OR,45.5152,-122.6784,2024-07-15,14:00,26.866334586466163,128
Sacramento CA,38.5816,-121.4944,2024-07-15,14:00,34.75286063829787,298
Austin TX,30.2672,-97.7431,2024-07-15,14:00,36.64999999999999,483
San Antonio TX,29.4241,-98.4936,2024-07-15,14:00,36.18323519736842,483
Tucson AZ,32.2226,-110.9747,2024-07-15,14:00,37.1124862244898,298
Orlando FL,28.5383,-81.3792,2024-07-15,14:00,33.76614814814815,226
